filename,overall_entropy,entropy_text,max_section_entropy,packer_detected,section_name_anomaly,num_imports,virtual_size_discrepancy,_pack_indicators
192_vcredist_x64.exe,7.99719,6.562809,6.776934,0,2,236,1,2
172_testhost.net47.x86.exe,6.589423,6.370841,6.370841,0,0,1,1,2
175_testhost.net471.x86.exe,6.590199,6.374112,6.374112,0,0,1,1,2
178_testhost.net472.x86.exe,6.592569,6.377307,6.377307,0,0,1,1,2
181_testhost.net48.x86.exe,6.585943,6.36867,6.36867,0,0,1,1,2
4629_dllhost.exe,5.269093,6.097187,6.097187,0,1,87,1,2
159_Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe,6.271718,6.235465,6.235465,0,0,1,1,2
162_Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe,6.271718,6.235465,6.235465,0,0,1,1,2
992_makeconv.exe,6.213434,6.351069,6.351069,0,1,123,1,2
164_DumpMinitool.exe,6.750056,6.46154,6.46154,0,0,1,1,2
165_DumpMinitool.x86.exe,6.774558,6.494876,6.494876,0,0,1,1,2
167_datacollector.exe,6.62732,6.407244,6.407244,0,0,1,1,2
4612_DeviceEject.exe,2.963427,5.218,5.218,0,1,45,1,2
4614_DevicePairingWizard.exe,5.041013,5.682398,5.682398,0,1,123,1,2
4615_DeviceProperties.exe,4.767665,5.534941,5.534941,0,1,36,1,2
4616_DFDWiz.exe,4.631003,5.802211,5.802211,0,1,112,1,2
4617_dfrgui.exe,5.763187,6.135862,6.135862,0,1,238,1,2
4618_dialer.exe,4.110588,5.629805,5.629805,0,1,140,1,2
4621_diskperf.exe,3.601962,5.115738,5.115738,0,1,78,1,2
4623_DiskSnapshot.exe,5.140741,6.154343,6.154343,0,1,120,1,2
4624_diskusage.exe,4.879058,6.158563,6.158563,0,1,111,1,2
4593_csrss.exe,3.645328,3.595914,3.595914,0,0,17,1,2
4594_ctfmon.exe,4.871174,5.987583,5.987583,0,1,80,1,2
4595_cttune.exe,5.514106,6.118183,6.118183,0,1,192,1,2
4596_cttunesvr.exe,4.465064,6.000058,6.000058,0,1,98,1,2
4605_dcomcnfg.exe,2.574016,5.34454,5.34454,0,1,38,1,2
4183_twistd.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4182_twist.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4181_ttx.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4180_trial.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4179_tqdm.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4178_tldextract.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4177_tkconch.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4176_tifffile.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4175_tiffcomment.exe,6.029285,6.064655,6.064655,0,1,104,1,2
1823_installanchorservice.exe,6.095374,5.893734,5.893734,0,1,49,1,2
1821_atrdiag.exe,6.247095,6.312906,6.312906,0,1,298,1,2
1135_fonttools.exe,6.029285,6.064655,6.064655,0,1,104,1,2
1136_pyftmerge.exe,6.029285,6.064655,6.064655,0,1,104,1,2
1112_x86_64-w64-mingw32-nmakehlp.exe,4.944412,6.011048,6.011048,0,1,81,1,2
4185_unidecode.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4184_undill.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4445_MSBuild.exe,6.138655,5.96869,6.270344,0,0,1,1,2
4448_ngentask.exe,5.906894,5.610468,5.610468,0,0,1,1,2
4449_RegAsm.exe,5.850148,5.383544,5.383544,0,0,1,1,2
4450_RegSvcs.exe,5.894961,5.092135,5.092135,0,0,1,1,2
4452_SMSvcHost.exe,5.97619,5.811419,5.811419,0,0,1,1,2
4454_WsatConfig.exe,5.806477,5.637147,5.637147,0,0,1,1,2
4455_AddInProcess.exe,5.957826,5.077818,5.077818,0,0,1,1,2
4456_AddInProcess32.exe,5.957264,5.081173,5.081173,0,0,1,1,2
4457_AddInUtil.exe,5.917017,5.02145,5.02145,0,0,1,1,2
4577_comp.exe,3.806452,5.343544,5.343544,0,1,116,1,2
4578_compact.exe,4.484542,5.914112,5.914112,0,1,113,1,2
4188_watchmedo.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4187_volint.exe,6.029285,6.064655,6.064655,0,1,104,1,2
1137_pyftsubset.exe,6.029285,6.064655,6.064655,0,1,104,1,2
1138_ttx.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4582_ComputerDefaults.exe,4.887591,5.847425,5.852266,0,1,57,1,2
4585_control.exe,6.074917,5.031416,6.92403,0,1,50,1,2
4586_convert.exe,3.46395,5.164462,5.164462,0,1,90,1,2
4587_convertvhd.exe,5.840511,6.174034,6.174034,0,1,152,1,2
4591_credwiz.exe,4.059351,5.890828,5.890828,0,1,128,1,2
4563_cliconfg.exe,3.452125,5.538349,5.538349,0,1,49,1,2
4564_clip.exe,3.976872,5.532363,5.532363,0,1,85,1,2
4572_cmdl32.exe,4.864566,5.879275,5.879275,0,1,150,1,2
4573_cmmon32.exe,4.147483,5.702158,5.702158,0,1,131,1,2
4574_cmstp.exe,5.32044,6.028232,6.028232,0,1,129,1,2
4575_cofire.exe,3.777055,5.844401,5.844401,0,1,76,1,2
4549_change.exe,3.037816,5.771519,5.771519,0,1,65,1,2
1163_edgepaint.exe,7.223789,6.321281,7.203119,0,0,97,0,2
4202_esbuild.exe,6.209607,6.123055,6.123055,0,1,48,1,2
4201_esbuild.exe,6.145388,6.07941,6.07941,0,1,42,1,2
4198_esbuild.exe,6.230243,6.114936,6.114936,0,1,48,1,2
4197_esbuild.exe,6.209762,6.12137,6.12137,0,1,48,1,2
4194_yapf.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4193_yapf-diff.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4192_xlwings.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4191_wsdump.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4190_wheel.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4189_wcslint.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4217_DecodeProcess.exe,5.939559,5.658039,5.658039,0,1,413,1,2
4216_7za.exe,6.638123,6.703572,6.703572,0,1,133,1,2
4214_esbuild.exe,6.210872,6.122428,6.122428,0,1,48,1,2
4209_esbuild.exe,6.209607,6.123055,6.123055,0,1,48,1,2
4208_esbuild.exe,6.145388,6.07941,6.07941,0,1,42,1,2
1157_cluster.exe,7.237918,6.324931,7.207642,0,0,78,0,2
4220_ThirdDecodeProcess.exe,5.910661,5.634592,5.634592,0,1,353,1,2
4218_PlayControlClient.exe,5.944993,5.5448,6.047649,0,1,956,1,2
4551_charmap.exe,6.396801,6.180646,6.938815,0,1,293,1,2
4553_chglogon.exe,3.4115,5.149214,5.149214,0,1,77,1,2
4554_chgport.exe,3.666612,5.630936,5.630936,0,1,83,1,2
4555_chgusr.exe,3.556485,5.970963,5.970963,0,1,77,1,2
4556_chkdsk.exe,3.555295,5.14203,5.14203,0,1,107,1,2
4557_chkntfs.exe,3.62482,5.214443,5.214443,0,1,111,1,2
4558_choice.exe,4.293833,6.041793,6.041793,0,1,85,1,2
4531_BitLockerWizard.exe,6.090084,5.884885,6.969798,0,1,44,1,2
4532_BitLockerWizardElev.exe,6.096927,5.884885,6.977489,0,1,44,1,2
4534_bootim.exe,3.972999,5.434725,5.434725,0,1,76,1,2
4535_bootsect.exe,5.096963,5.791036,5.791036,0,1,110,1,2
4541_cacls.exe,4.061259,5.668769,5.668769,0,1,96,1,2
4542_calc.exe,3.106815,4.998213,4.998213,0,1,34,1,2
2702_xdcmake.exe,6.283239,4.869478,5.855681,0,0,1,1,2
2703_vsn.exe,6.79667,5.835204,5.835204,0,0,1,1,2
2704_NuGet.Build.Tasks.Console.exe,6.305844,6.05942,6.05942,0,0,1,1,2
2705_MSBuild.exe,6.369494,6.045054,6.369088,0,0,1,1,2
2706_MSBuildTaskHost.exe,6.444277,6.096503,6.339682,0,0,1,1,2
4464_aspnet_wp.exe,6.392896,6.231024,6.231024,0,1,117,1,2
4466_ComSvcConfig.exe,5.833055,5.692058,5.692058,0,0,1,1,2
4469_DataSvcUtil.exe,5.90346,5.528412,5.528412,0,0,1,1,2
4470_dfsvc.exe,6.640018,5.412,5.412,0,0,1,1,2
4471_EdmGen.exe,5.798902,5.518051,5.518051,0,0,1,1,2
4474_jsc.exe,6.172712,5.612569,5.612569,0,0,1,1,2
